Year,Section ID,Section,Exports,Imports,Gap
2022,S01,Animals and their products,5826.4383370000005,24349.154599,18522.716262
2022,S02,Plant Products,2033.1185,38673.446867,36640.328367
2022,S03,"Animal and vegetable fats, oils, waxex and their products",1923.5922150000001,5862.839196000001,3939.2469810000007
2022,S04,"Prepared foodstuffs, beverages and tobacco",8354.479994,33843.61141,25489.131415999997
2022,S05,Mineral Products,5342.696933,48743.969195,43401.272262
2022,S06,Products of the chemical industries,112915.947726,70517.932061,-42398.015665
2022,S07,"Plastics, rubber and their articles",89334.677671,26604.562296,-62730.115374999994
2022,S08,"Skins, leather and their articles, handbags and similar",263.420791,2364.307886,2100.887095
2022,S09,"Wood, cork, plaiting materials and their articles",466.1189179999999,6981.227159,6515.108241
2022,S10,"Paper, paperboard and their articles",2659.913893,9587.537403,6927.62351
2022,S11,Textiles and their articles,2708.869106,23773.331167,21064.462061
2022,S12,"Footwear, headgear, umbrellas, sticks",113.44132,4420.698044,4307.256724
2022,S13,"Articles of stone, plaster, cement, ceramic, glass",2135.212252,8452.677783,6317.465531
2022,S14,"Precious stones or metals and their articles, jewelry",5251.765434,27938.392327999998,22686.626893999997
2022,S15,Base metals and their articles,25278.285868,64882.195234,39603.909366
2022,S16,"Machinery and mechanical appliances, electrical equipment, parts thereof",18815.967482,137079.933709,118263.966227
2022,S17,"Vehicles, aircraft, vessels and associated transport equipment",21797.940688,102313.533358,80515.59267
2022,S18,"Optical, photographic, measuring, checking, medical instruments and apparatus; clocks and musical Instruments",2272.854609,18246.278383,15973.423774
2022,S19,Arms and Ammunition; Parts and Accessories Thereof,389.1180620000001,8384.432243449999,7995.314181449999
2022,S20,Miscellaneous Manufactured Articles,2146.697816,15865.609113000002,13718.911297000002
2022,S21,Works of arts and antiqes,346.654903,10481.92499,10135.270086999999
2023,S01,Animals and their products,6237.54618,24483.791547,18246.245367
2023,S02,Plant Products,2463.5185,34059.557383,31596.038883
2023,S03,"Animal and vegetable fats, oils, waxex and their products",1395.538657,4117.765696,2722.2270390000003
2023,S04,"Prepared foodstuffs, beverages and tobacco",9215.97907,33391.115131,24175.136060999997
2023,S05,Mineral Products,3562.858563,55814.959006,52252.100442999996
2023,S06,Products of the chemical industries,81146.216155,70396.202168,-10750.013986999998
2023,S07,"Plastics, rubber and their articles",67433.785435,25417.592421999998,-42016.193013
2023,S08,"Skins, leather and their articles, handbags and similar",236.240477,2379.1833450000004,2142.9428680000005
2023,S09,"Wood, cork, plaiting materials and their articles",361.56084200000004,5933.657236,5572.096394
2023,S10,"Paper, paperboard and their articles",2555.4457749999997,7940.274725,5384.828950000001
2023,S11,Textiles and their articles,2363.299719,22992.059807,20628.760088000003
2023,S12,"Footwear, headgear, umbrellas, sticks",139.558427,4568.472046,4428.913619
2023,S13,"Articles of stone, plaster, cement, ceramic, glass",2575.99076,7317.022147,4741.031386999999
2023,S14,"Precious stones or metals and their articles, jewelry",7463.923936,33599.619045,26135.695109
2023,S15,Base metals and their articles,22454.143066,63741.326237999994,41287.18317199999
2023,S16,"Machinery and mechanical appliances, electrical equipment, parts thereof",23490.420843,164245.538996,140755.118153
2023,S17,"Vehicles, aircraft, vessels and associated transport equipment",26722.396131,131537.247169,104814.85103800001
2023,S18,"Optical, photographic, measuring, checking, medical instruments and apparatus; clocks and musical Instruments",2174.8989060000004,21952.137588,19777.238682000003
2023,S19,Arms and Ammunition; Parts and Accessories Thereof,380.818145,8517.642415,8136.82427
2023,S20,Miscellaneous Manufactured Articles,2209.077491,18850.195,16641.117509
2023,S21,Works of arts and antiqes,972.934165,12602.326485000001,11629.39232
2024,S01,Animals and their products,7220.441152,27394.408003,20173.966851
2024,S02,Plant Products,3023.171841,34598.626848,31575.455007
2024,S03,"Animal and vegetable fats, oils, waxex and their products",1355.76803,5060.274176,3704.5061459999997
2024,S04,"Prepared foodstuffs, beverages and tobacco",10444.875443,37035.688273,26590.81283
2024,S05,Mineral Products,4206.570339,51222.629342,47016.059003
2024,S06,Products of the chemical industries,77224.563758,77661.159763,436.5960049999994
2024,S07,"Plastics, rubber and their articles",71684.459022,28362.013872,-43322.44515
2024,S08,"Skins, leather and their articles, handbags and similar",242.844744,2519.834812,2276.990068
2024,S09,"Wood, cork, plaiting materials and their articles",381.181394,6020.743811,5639.562417
2024,S10,"Paper, paperboard and their articles",2692.249716,8222.138839000001,5529.889123000001
2024,S11,Textiles and their articles,2501.1768930000003,22938.986423000002,20437.809530000002
2024,S12,"Footwear, headgear, umbrellas, sticks",105.972086,4738.096842,4632.124756
2024,S13,"Articles of stone, plaster, cement, ceramic, glass",2706.709051,9292.418722,6585.7096710000005
2024,S14,"Precious stones or metals and their articles, jewelry",9253.488105,38422.060713000006,29168.572608000006
2024,S15,Base metals and their articles,22375.415955,75053.82294700001,52678.406992000004
2024,S16,"Machinery and mechanical appliances, electrical equipment, parts thereof",42561.151647000006,209002.712835,166441.56118800002
2024,S17,"Vehicles, aircraft, vessels and associated transport equipment",38040.124807,112530.37351199999,74490.24870499999
2024,S18,"Optical, photographic, measuring, checking, medical instruments and apparatus; clocks and musical Instruments",2500.909375,24148.438193,21647.528818000003
2024,S19,Arms and Ammunition; Parts and Accessories Thereof,1084.244727,7909.979599,6825.734872
2024,S20,Miscellaneous Manufactured Articles,1857.884935,19395.626886000002,17537.741951000004
2024,S21,Works of arts and antiqes,1093.967392,18531.358857,17437.391465
